stateFIPS,State,countyFIPS,County,Year,Value,
44,Rhode Island,44001,Bristol,2005,144,
44,Rhode Island,44001,Bristol,2006,155,
44,Rhode Island,44001,Bristol,2007,148,
44,Rhode Island,44001,Bristol,2008,134,
44,Rhode Island,44001,Bristol,2009,164,
44,Rhode Island,44001,Bristol,2010,108,
44,Rhode Island,44001,Bristol,2011,126,
44,Rhode Island,44001,Bristol,2012,140,
44,Rhode Island,44001,Bristol,2013,129,
44,Rhode Island,44001,Bristol,2014,136,
44,Rhode Island,44001,Bristol,2015,138,
44,Rhode Island,44003,Kent,2005,922,
44,Rhode Island,44003,Kent,2006,826,
44,Rhode Island,44003,Kent,2007,829,
44,Rhode Island,44003,Kent,2008,910,
44,Rhode Island,44003,Kent,2009,960,
44,Rhode Island,44003,Kent,2010,788,
44,Rhode Island,44003,Kent,2011,802,
44,Rhode Island,44003,Kent,2012,871,
44,Rhode Island,44003,Kent,2013,645,
44,Rhode Island,44003,Kent,2014,783,
44,Rhode Island,44003,Kent,2015,697,
44,Rhode Island,44005,Newport,2005,433,
44,Rhode Island,44005,Newport,2006,395,
44,Rhode Island,44005,Newport,2007,420,
44,Rhode Island,44005,Newport,2008,388,
44,Rhode Island,44005,Newport,2009,373,
44,Rhode Island,44005,Newport,2010,358,
44,Rhode Island,44005,Newport,2011,368,
44,Rhode Island,44005,Newport,2012,400,
44,Rhode Island,44005,Newport,2013,402,
44,Rhode Island,44005,Newport,2014,336,
44,Rhode Island,44005,Newport,2015,300,
44,Rhode Island,44007,Providence,2005,"4,701",
44,Rhode Island,44007,Providence,2006,"4,695",
44,Rhode Island,44007,Providence,2007,"4,792",
44,Rhode Island,44007,Providence,2008,"5,212",
44,Rhode Island,44007,Providence,2009,"5,107",
44,Rhode Island,44007,Providence,2010,"4,473",
44,Rhode Island,44007,Providence,2011,"4,609",
44,Rhode Island,44007,Providence,2012,"4,486",
44,Rhode Island,44007,Providence,2013,"4,290",
44,Rhode Island,44007,Providence,2014,"4,631",
44,Rhode Island,44007,Providence,2015,"4,344",
44,Rhode Island,44009,Washington,2005,661,
44,Rhode Island,44009,Washington,2006,607,
44,Rhode Island,44009,Washington,2007,483,
44,Rhode Island,44009,Washington,2008,489,
44,Rhode Island,44009,Washington,2009,531,
44,Rhode Island,44009,Washington,2010,552,
44,Rhode Island,44009,Washington,2011,501,
44,Rhode Island,44009,Washington,2012,536,
44,Rhode Island,44009,Washington,2013,441,
44,Rhode Island,44009,Washington,2014,394,
44,Rhode Island,44009,Washington,2015,399,
